k_folds,Umoca,Smoca-greedy,Best_BC,Woc,Lda
1,0.5147610889202563,0.5548856944372247,0.5288937277308479,0.5111713664340651,0.5486793481738644
2,0.5076169699320627,0.5554087918331111,0.5537245409923816,0.5104582533264576,0.5594428174345581
3,0.5108213614501947,0.5380765653712126,0.518912159277097,0.5241974200028768,0.5569409070301785
4,0.5081907245700764,0.5616019382378065,0.5340773498927419,0.5312396975414115,0.5736704797984279
5,0.5350229308570659,0.5639026406580012,0.5314192445264959,0.5101176964236903,0.5511471737898007
