k_folds,Umoca,Smoca-greedy,Best_BC,Woc,Lda
1,0.7519237204749705,0.8427653668147176,0.818879049733406,0.7608474099574047,0.8236330914458898
2,0.7624222822744976,0.8527597540697474,0.8196729161678977,0.7683892035710026,0.8589946451932147
3,0.7408426620052431,0.8522641570139956,0.8175496639988441,0.7637598365046636,0.8387997723817895
4,0.7348867915229316,0.8646870058769566,0.8110773938244991,0.7809309034738481,0.8473299181390809
5,0.7568197794425392,0.8405432145127024,0.8087817733211808,0.7429133219811529,0.8521487752256681
