k_folds,Umoca,Smoca-greedy,Best_BC,Woc,Lda
1,0.9079078447812594,0.9084511920406205,0.9078560926565191,0.9085696113125121,0.9031500527331104
2,0.9056307512926991,0.9069222520923043,0.9066319597098165,0.9023659629979296,0.9033869913777163
3,0.9017319243942467,0.9037135202576013,0.9078080442621779,0.8996590365816431,0.9028897905970851
4,0.909277437656257,0.8979428769472362,0.9012275426309359,0.8987750617026705,0.9062779465029784
5,0.8969256188416193,0.9034844388368132,0.8967705078907298,0.9076792437715273,0.9080723784346674
