k_folds,Umoca,Smoca-greedy,Best_BC,Woc,Lda
1,0.8316666666666662,0.8688690476190476,0.818452380952381,0.7686904761904764,0.928630952380952
2,0.8272619047619046,0.8910119047619048,0.8104166666666666,0.7307142857142852,0.9497023809523794
3,0.8059523809523809,0.8945833333333335,0.8232738095238092,0.8178571428571428,0.9345833333333329
4,0.8145833333333327,0.9504761904761887,0.7666666666666656,0.7846428571428558,0.9468452380952379
5,0.8277380952380946,0.898511904761904,0.7574404761904748,0.779821428571427,0.8535119047619033
