k_folds,Umoca,Smoca-greedy,Best_BC,Woc,Lda
1,0.5825719213275803,0.7395758170351577,0.6868885428867267,0.5799060088127529,0.7680686738032005
2,0.5903991607186903,0.7361385726463971,0.6541419365092771,0.5857443314299949,0.7265966803514109
3,0.5965121501795504,0.7344869851195466,0.6712013829410841,0.5581560699236834,0.6836436378236774
4,0.577678330148095,0.7591079098166998,0.6892536758652213,0.6045575595077561,0.7298450106903916
5,0.5544783197243563,0.7262241879082485,0.6679833820413349,0.6005850263736627,0.7251280574345482
