k_folds,Umoca,Smoca-greedy,Best_BC,Woc,Lda
1,0.6111111111111106,0.629928315412186,0.782258064516129,0.653673835125448,0.8037634408602147
2,0.6048387096774194,0.7065412186379931,0.6859318996415766,0.5506272401433691,0.6890681003584221
3,0.49955197132616475,0.7325268817204302,0.7396953405017916,0.44354838709677397,0.8212365591397845
4,0.4780465949820787,0.7688172043010754,0.7522401433691751,0.4820788530465944,0.8346774193548384
5,0.45340501792114674,0.7858422939068096,0.6635304659498205,0.5846774193548384,0.6317204301075264
