k_folds,Umoca,Smoca-greedy,Best_BC,Woc,Lda
1,0.9613690476190461,0.9704166666666657,0.8117857142857137,0.8705952380952375,0.9482142857142853
2,0.9395833333333327,0.9352976190476185,0.8238095238095234,0.9092261904761894,0.9626190476190462
3,0.9706547619047603,0.9279166666666665,0.7439880952380943,0.8777380952380955,0.9575595238095239
4,0.9788690476190457,0.9384523809523806,0.7586904761904752,0.9102380952380952,0.9664880952380943
5,0.9382738095238093,0.9552976190476172,0.7569047619047617,0.915535714285713,0.9584523809523793
