k_folds,Umoca,Smoca-greedy,Best_BC,Woc,Lda
1,0.6666666666666661,0.7177382580939347,0.3563611491108065,0.5802553579571357,0.7268581851345186
2,0.7040583675330594,0.7072503419972636,0.5797993616051066,0.7902416780665754,0.6753305973552204
3,0.7544459644322843,0.6222070223438204,0.38235294117647006,0.6317829457364332,0.690150478796169
4,0.7207022343821243,0.6399908800729589,0.6071591427268576,0.7083903328773364,0.7854537163702687
5,0.6292749658002729,0.6155950752393973,0.4808481532147736,0.6666666666666661,0.7077063383492928
