k_folds,Umoca,Smoca-greedy,Best_BC,Woc,Lda
1,0.9849999999999999,0.9866666666666666,0.8033333333333332,0.701666666666667,0.9533333333333331
2,0.9599999999999999,0.8700000000000006,0.7799999999999997,0.6883333333333336,0.9533333333333333
3,0.9341692789968654,0.938871473354232,0.9106583072100318,0.6974921630094044,0.9561128526645767
4,0.9420062695924762,0.9310344827586204,0.675548589341693,0.8432601880877741,0.9937304075235106
5,0.8087774294670846,0.873040752351097,0.8087774294670848,0.8087774294670848,0.8448275862068965
